upi,district,sector,land_use,zoning,area_m2,distance_to_cbd_km,distance_to_paved_road_m,slope_deg,amenities_score,sale_price,price_per_m2
3/08/05/01/2618,Gasabo,SectorB,Agricultural,C1,1202,12.925707622666607,68.81439086059675,7.587497694849035,0.9728096769020844,52760512.05565533,43893.93681834886
3/09/05/01/1499,Rubavu,SectorA,Agricultural,R2,235,7.203063061068283,53.89595953959419,14.730669341795759,0.27699719291257313,5964724.540378588,25381.806554802504
3/04/05/01/1854,Nyarugenge,SectorD,Residential,R3,717,12.754811425965887,111.31154585918802,6.403531309842558,0.9855342276011314,62284532.90034939,86868.24672294197
3/01/05/01/1511,Nyarugenge,SectorA,Commercial,R2,705,4.07987577655703,7.600375821869427,10.741914607151063,0.475550630742808,77315476.34770872,109667.34233717549
3/09/05/01/2049,Musanze,SectorA,Agricultural,A1,362,5.849590476679932,113.95239980179521,13.33103684079938,0.5714962561456329,9016230.074573468,24906.712913186377
3/00/05/01/3700,Gasabo,SectorC,Commercial,R3,984,9.929818518428176,165.15401950020333,7.094811915097107,0.5545218187639201,89941952.55481109,91404.42332806005
3/06/05/01/3126,Kicukiro,SectorA,Residential,A1,826,5.610017633760592,113.90265554790841,1.37579422981154,0.6999708136745727,56234990.44737595,68081.10223653264
3/04/05/01/3284,Nyarugenge,SectorB,Commercial,R3,915,9.355896471945126,246.20271907088363,7.130152106048293,0.7901540854653117,103701754.76101667,113335.25110493625
3/08/05/01/1828,Huye,SectorA,Agricultural,A1,430,2.3841287383842054,17.4967699260707,10.109166736095352,0.6298678598744623,10119016.388188645,23532.5962516015
3/05/05/01/4555,Musanze,SectorB,Mixed-use,C2,817,9.094458263205757,114.64163120791488,11.924629488156773,0.7855102110869803,41242471.30781222,50480.38103771386
3/01/05/01/0581,Rubavu,SectorC,Mixed-use,R1,1468,10.96991864232847,110.19587191593067,3.817219974273904,0.21031797583162037,69243503.9430496,47168.59941624632
3/08/05/01/3738,Kicukiro,SectorA,Commercial,C2,557,14.99494115551251,62.630981135410075,0.11888187011141249,0.35210348985021533,47407332.99812199,85111.9084346894
3/07/05/01/0747,Rubavu,SectorC,Residential,C2,400,1.0865735169725534,244.1516532495896,14.225543291833786,0.2730605874668457,16844909.933730785,42112.27483432696
3/09/05/01/0899,Gasabo,SectorD,Commercial,R2,955,11.100288199534008,282.6772840275054,13.224530237631159,0.612153780910571,87410994.77061953,91529.8374561461
3/05/05/01/0205,Kicukiro,SectorB,Agricultural,R2,1209,9.469354917667571,98.84290831734525,12.99658001291468,0.9946695498869029,51866794.937600516,42900.5748036398
3/02/05/01/0212,Rubavu,SectorB,Commercial,C1,1090,8.29727785479468,247.60605855103213,6.4629313730705,0.917371431872098,70077053.94431295,64290.875178268754
3/06/05/01/2846,Musanze,SectorD,Mixed-use,R1,748,13.782484933154675,133.91398984275423,4.548187053343553,0.41659345079159293,34401235.02065296,45990.95590996385
3/00/05/01/0080,Nyarugenge,SectorA,Residential,C2,1099,7.430855311246415,253.41696743051935,11.533766119730963,0.2529887822814927,83297949.35825196,75794.31242789078
3/07/05/01/2907,Huye,SectorC,Commercial,C1,1410,7.287939520022511,103.7882064592203,8.005522457648276,0.5620437295588543,73723601.69245449,52286.2423350741
3/05/05/01/2485,Huye,SectorC,Residential,C1,1276,9.385532908534257,58.212031818146045,7.19420631246125,0.7264740487517343,50853519.94768428,39853.85575837326
3/02/05/01/1522,Musanze,SectorA,Agricultural,R1,675,12.434746023814165,62.90472404220745,3.0758264012825363,0.7166076572245503,17132675.713196885,25381.74179732872
3/04/05/01/1724,Kicukiro,SectorC,Agricultural,R2,726,7.874951295150098,181.75681238712045,1.4350306564231903,0.5063331258638193,28531704.665173948,39299.8686848126
3/01/05/01/4451,Huye,SectorC,Residential,R1,1076,13.00375464518873,233.20060419246187,10.067773503007007,0.5079364356487309,40552982.30208427,37688.6452621601
3/07/05/01/0137,Huye,SectorC,Agricultural,R2,224,4.449628465347495,246.63518371388892,11.991238184534689,0.7557571766835414,5367297.196615717,23961.14819917731
3/03/05/01/4703,Gasabo,SectorA,Mixed-use,C2,1114,14.493363401238433,239.1384996783861,1.8311516604980815,0.9419278053780578,92755850.99567644,83263.78006793218
3/07/05/01/1017,Gasabo,SectorB,Commercial,C2,767,11.428115018527913,28.497908648024755,0.7284408494349254,0.5583629577449485,70923960.23719583,92469.30930534007
3/02/05/01/1852,Musanze,SectorB,Mixed-use,R1,1441,4.243809214462018,164.85163320067988,3.296389710940745,0.7200804421204432,71284900.15629657,49469.049379803306
3/03/05/01/4253,Gasabo,SectorB,Mixed-use,C2,1229,11.88840696289769,201.2726869311007,11.6765538125231,0.573065612575087,95871029.56148955,78007.34708013796
3/08/05/01/3978,Rubavu,SectorC,Commercial,R2,636,6.0627485987699625,98.11696197710982,7.367125854778812,0.33288052810657964,36617252.18376258,57574.29588641915
3/08/05/01/0388,Huye,SectorB,Residential,A1,652,9.692720263047914,278.95478466939045,11.412815167717435,0.637487712780101,25246885.6338799,38722.21722987715
3/08/05/01/4788,Musanze,SectorC,Commercial,R2,346,12.122040083966304,243.564186075797,5.846473127938929,0.588509594462149,19348325.0738106,55920.01466419249
3/05/05/01/2315,Kicukiro,SectorC,Mixed-use,R3,1261,4.634597381434885,176.61578329471715,3.614280639554142,0.5571562177631253,96898319.63272355,76842.44221468958
3/02/05/01/1372,Kicukiro,SectorD,Residential,R1,365,13.165319524411288,280.5407647444081,4.911608444311,0.3086659427306126,22322407.268611085,61157.28018797557
3/00/05/01/4480,Gasabo,SectorA,Agricultural,R1,1446,14.672695418919025,246.8725055291433,12.698900359503009,0.8886159237824629,61148084.10522602,42287.74834386308
3/07/05/01/1027,Huye,SectorA,Commercial,C2,1303,1.6969340213226127,84.20752247826114,9.81353669917977,0.6268935450473687,69750412.50578724,53530.6312400516
3/06/05/01/3766,Musanze,SectorC,Residential,R1,1113,9.193112025112647,247.20109802512414,5.845024801622484,0.3584005873762033,44059268.9377789,39586.04576619847
3/01/05/01/2721,Rubavu,SectorC,Residential,R2,1281,8.987989927825431,215.3072081576271,11.663625405585753,0.4172132621864571,54509147.06299254,42552.02737157888
3/06/05/01/3456,Rubavu,SectorA,Commercial,R2,704,14.862419275858045,129.44183604864668,1.4560399223240494,0.2964552135640921,39476271.121444166,56074.248752051375
3/01/05/01/1141,Nyarugenge,SectorC,Mixed-use,R1,386,8.479085739037462,248.02151622655867,1.547201413175416,0.954416567716589,38353868.16912351,99362.35276975002
3/01/05/01/2081,Musanze,SectorC,Agricultural,C2,1193,10.566251136456302,268.07855488753154,4.733212104673728,0.3723884975543878,28338744.39814722,23754.186419234888
3/05/05/01/3545,Musanze,SectorA,Mixed-use,C2,839,3.8807873073611994,80.94538856111748,12.252030344843403,0.36726736235592067,39041092.82320292,46532.887751135786
3/08/05/01/4158,Kicukiro,SectorC,Residential,C2,380,5.384356971158466,22.470902165886493,3.866515382783609,0.5922510551706411,25490299.056613173,67079.73435950835
3/02/05/01/0532,Kicukiro,SectorA,Mixed-use,C2,1092,12.462363212776712,295.1523259215306,3.89506258425621,0.9757789062383817,88900055.71257652,81410.30742909938
3/07/05/01/3907,Rubavu,SectorA,Commercial,R1,1316,6.88895520591445,148.31580442115907,13.939868978418138,0.28696751984011426,74550495.83410373,56649.31294384782
3/03/05/01/4203,Nyarugenge,SectorD,Agricultural,C2,433,10.654554278156073,79.15448312594779,14.498165857193063,0.8578896952661703,22298633.425688345,51497.99867364514
3/00/05/01/2430,Huye,SectorC,Commercial,C2,979,9.349272647705593,113.00627887049097,6.567387174516071,0.6543364026187266,52103153.561972916,53220.790155232804
3/05/05/01/1325,Gasabo,SectorA,Mixed-use,R2,747,11.298997240159114,148.66973195229065,12.197732209266919,0.9637101216051747,62112629.702834845,83149.43735319257
3/05/05/01/0505,Musanze,SectorA,Commercial,R3,1460,6.691794973313459,271.4412797561566,9.057764738104169,0.6612912057037743,83087954.48144113,56909.55786400077
3/09/05/01/0839,Kicukiro,SectorA,Agricultural,C2,540,7.433881685077306,152.19554354513394,1.0831977800278192,0.7475482888554461,22219227.071104117,41146.71679834096
3/01/05/01/3601,Nyarugenge,SectorC,Residential,C2,1458,10.723342954998069,163.23247930434374,9.059983934931623,0.804101431467305,122503796.75946644,84021.8084770003
3/03/05/01/0483,Gasabo,SectorB,Agricultural,A1,1237,1.7468719578445677,139.155481053035,10.121794532511158,0.7420252911069478,53193501.21964809,43002.02200456596
3/06/05/01/2386,Huye,SectorB,Agricultural,C1,1293,12.05052214505629,98.54119224586705,12.806446530029664,0.842104337280027,31272456.99875852,24185.968289836444
3/07/05/01/3957,Nyarugenge,SectorD,Agricultural,R1,792,13.038333502281384,102.12770677540095,13.786719095747152,0.5772811210425772,38288051.77025091,48343.499709912765
3/08/05/01/4068,Rubavu,SectorA,Mixed-use,R2,1087,11.654986592296282,112.18268742658663,12.325797176800027,0.9728613768696106,58860675.85908531,54149.65580412632
3/02/05/01/0312,Huye,SectorC,Residential,R3,533,11.404704782242447,19.202136613614268,13.543424927879808,0.8818110995129451,21803002.217672016,40906.195530341494
3/05/05/01/2685,Gasabo,SectorD,Commercial,C2,978,9.476508043112043,215.01411549167176,4.814636004966084,0.7591871685400278,93307838.0981677,95406.78742143937
3/01/05/01/0321,Gasabo,SectorA,Residential,A1,248,1.1072964570891546,69.62529868504804,0.5508204375123171,0.2864206033045531,16433329.590671593,66263.42576883707
3/02/05/01/1702,Nyarugenge,SectorC,Commercial,C1,500,2.436183844634291,256.4097748678937,9.020514404850996,0.9686844614278238,59277489.63674418,118554.97927348835
3/00/05/01/2260,Musanze,SectorD,Mixed-use,C1,943,13.442188199724006,117.26700921942881,13.627860457507685,0.5530940482558317,44552369.06999756,47245.354262987865
3/00/05/01/2780,Huye,SectorC,Commercial,R3,1360,11.094703522421884,241.31739647360067,14.145177787397492,0.3858470211057453,67484736.0730948,49621.12946551088
3/05/05/01/0245,Huye,SectorB,Mixed-use,R2,1100,4.012826208241325,8.575628519948516,3.618021863993122,0.980699003928043,53567307.485216945,48697.55225928813
3/09/05/01/3369,Kicukiro,SectorB,Agricultural,R3,563,2.0849443032643906,22.118739992812813,7.277804043132738,0.9662293088880813,24472214.277043898,43467.52091837282
3/01/05/01/2061,Musanze,SectorB,Mixed-use,A1,301,5.935258454076372,202.2335834746925,5.8244666692280855,0.4040923146704006,13947825.428139718,46338.29045893594
3/09/05/01/1339,Kicukiro,SectorD,Commercial,R2,332,12.00810049634789,265.10814443729686,12.580458604425754,0.6657445889157119,29677348.819155518,89389.60487697445
3/05/05/01/3075,Nyarugenge,SectorA,Mixed-use,R3,1394,7.666708489791778,276.5721971312805,5.0150817062285356,0.3812229161815995,124636430.9727388,89409.20442807661
3/05/05/01/2875,Gasabo,SectorB,Agricultural,C1,1040,7.838572751499093,24.03122016771998,7.289726768461541,0.5410557334434518,42413503.62558053,40782.21502459666
3/03/05/01/1533,Huye,SectorB,Residential,A1,798,5.480153849458888,105.1507049426831,10.20237820138318,0.24650703282146288,28927940.30331567,36250.55175854094
3/01/05/01/1211,Gasabo,SectorA,Residential,R2,1343,7.161690793789107,31.885515031463633,10.779056110352935,0.3709893503855286,88328960.9575804,65769.88902277022
3/09/05/01/3649,Nyarugenge,SectorA,Commercial,R3,1380,11.599314699010451,120.11307274304178,12.369189242500724,0.8233886372691617,157135475.79620883,113866.28680884698
3/01/05/01/4181,Nyarugenge,SectorC,Residential,C2,477,3.5544048131208736,127.23603813377173,3.2273544916613313,0.888265975063486,41605302.314994864,87222.85600627854
3/05/05/01/2545,Rubavu,SectorC,Commercial,C2,1246,5.273731532171733,62.80726223500881,13.890641193706607,0.2843589110010354,71013011.96381493,56992.78648781295
3/09/05/01/1379,Gasabo,SectorA,Residential,R1,896,8.052828212144878,195.55570167805328,14.593415840815423,0.2445884212011217,56957109.43237543,63568.20249149044
3/01/05/01/3561,Musanze,SectorB,Commercial,R1,1030,13.811097625438235,130.87794573751268,9.80559157202566,0.2266630359810048,53179163.38533601,51630.25571391846
3/00/05/01/4390,Huye,SectorA,Mixed-use,R2,1492,7.369239111363783,17.94341288474703,11.452449378171867,0.8495715702190163,69998739.0365727,46916.04493067875
3/05/05/01/3365,Huye,SectorA,Mixed-use,R1,1107,7.384948225562184,246.4234441260382,0.2554719163200536,0.6656861465441779,50222865.324964575,45368.442027971614
3/09/05/01/3209,Rubavu,SectorD,Mixed-use,R3,319,2.6829989263856406,166.34208758801654,14.337793117009372,0.9953869084077565,17925775.54391023,56193.6537426653
3/03/05/01/3243,Musanze,SectorB,Agricultural,C1,978,10.144043833322606,182.43269469904732,0.7324940044459294,0.45569425806780495,23737489.64571765,24271.46180543727
3/07/05/01/4257,Huye,SectorD,Commercial,A1,1439,10.223800599517023,234.6834624723219,10.14887984200485,0.5854624878540726,74312836.93763997,51641.99926173729
3/06/05/01/2346,Huye,SectorA,Residential,R2,1241,7.009038725763703,298.53937340527614,2.9601212728693387,0.2743823940102608,45131810.27317158,36367.29272616566
3/02/05/01/1722,Gasabo,SectorC,Agricultural,R3,1366,11.200992532036603,195.484551699963,14.786170530150441,0.3711165890998334,53142495.2325518,38903.7300384713
3/00/05/01/3580,Huye,SectorD,Agricultural,R3,345,1.083970503637477,58.79620500633493,7.113529467279076,0.42058916247024547,7845768.621036242,22741.358321844178
3/05/05/01/3225,Gasabo,SectorD,Mixed-use,R1,372,4.5286560354089875,236.53957330228826,6.5046888709804485,0.36123034959013345,28017385.259739317,75315.55177349279
3/04/05/01/3524,Huye,SectorB,Mixed-use,R3,1137,10.994806383835083,197.20678606764096,2.5236932404199326,0.455199420471887,48893578.557466075,43002.26786056823
3/05/05/01/4005,Huye,SectorB,Agricultural,C2,567,13.331024953207212,241.15095355540433,13.889395704320945,0.45191162130478546,12533620.780103523,22105.151287660534
3/05/05/01/3605,Musanze,SectorD,Mixed-use,R2,1324,8.99085025152825,45.99268799313787,4.082987089148482,0.3342576752983394,60633323.29172178,45795.561398581405
3/01/05/01/3901,Nyarugenge,SectorC,Mixed-use,R3,783,13.813388622086492,278.02093955032547,10.908545860039402,0.9202268909007574,76982601.20099136,98317.49834098514
3/05/05/01/4195,Nyarugenge,SectorB,Mixed-use,R3,918,9.4690814405828,135.978679160447,8.227484954252557,0.9038977364760743,90627285.86155373,98722.53361825025
3/04/05/01/1194,Huye,SectorA,Commercial,R2,1231,7.21758207245569,235.5000844265841,10.200690845614048,0.7081255910911481,65229707.60383154,52989.20195274698
3/02/05/01/0492,Huye,SectorB,Commercial,C1,579,1.9382315285169396,292.72622437632583,12.25460860907755,0.8820379369967764,32196894.73112628,55607.76292077077
3/03/05/01/1613,Nyarugenge,SectorC,Commercial,R2,1389,6.060315186843583,122.09489940338284,2.611638712998525,0.5025212906339689,151182336.68929735,108842.57501029327
3/08/05/01/4178,Kicukiro,SectorA,Agricultural,R1,509,6.283348335137941,26.443323794356594,6.86848645614722,0.32918464487327787,19653878.59623342,38612.72808690259
3/03/05/01/3153,Musanze,SectorA,Residential,R3,853,5.554589574697982,129.3996455468636,1.6430490746605693,0.39803542961443683,34642675.67675969,40612.749914137974
3/07/05/01/1167,Rubavu,SectorB,Commercial,C2,369,12.0013187794209,141.42476103421865,14.114486817641907,0.589097680660118,21883125.66352931,59303.8635868003
3/08/05/01/1348,Musanze,SectorA,Commercial,R3,1344,11.382442276320921,119.00078852459113,4.954412632022011,0.6762845780082496,76235075.21751118,56722.52620350534
3/02/05/01/1532,Nyarugenge,SectorD,Agricultural,C2,718,1.7851223696913923,179.47189687520813,12.87464160760572,0.5845927299277781,35407559.363131024,49314.14953082315
3/04/05/01/0864,Gasabo,SectorC,Mixed-use,C2,860,2.9905392694229227,20.583638703037735,9.387617924735636,0.24360742193097568,63990921.40332149,74408.04814339709
3/04/05/01/1404,Musanze,SectorD,Mixed-use,R2,710,10.832738077426065,87.33011516462864,8.690695910219231,0.36182174487253516,32368661.05569657,45589.66345872756
3/01/05/01/2241,Huye,SectorA,Agricultural,A1,206,5.475739613327507,224.53490163331998,7.9797269985750106,0.6868098740202774,4890770.247662534,23741.603143992885
3/04/05/01/3594,Musanze,SectorA,Agricultural,C2,794,10.412910168205013,12.607148269247299,6.749936807549106,0.6400974562937791,20142435.947450295,25368.307238602385
3/00/05/01/0930,Huye,SectorD,Agricultural,R2,1280,13.025727659711082,31.188113752088636,12.974924643116644,0.45649592524018145,28966480.778425205,22630.06310814469
3/04/05/01/1904,Musanze,SectorC,Agricultural,R3,1034,14.932405513236528,123.12285604539409,9.573764780954834,0.9086093552900956,27282003.108762573,26384.91596592125
3/01/05/01/3521,Gasabo,SectorD,Mixed-use,R3,735,5.304663092878155,250.09636791308836,14.022488614078634,0.898970147924711,61044012.338024154,83053.07801091722
3/02/05/01/4312,Musanze,SectorD,Mixed-use,R1,451,10.573128517946845,91.52567203292658,1.3418372097902482,0.5402479650937042,21357111.123831876,47355.01357834119
3/09/05/01/2369,Huye,SectorA,Residential,R3,884,5.981625301347252,206.25678112826736,14.496522151264795,0.49040115998604916,33125216.170795023,37471.96399411202
3/06/05/01/4816,Huye,SectorA,Mixed-use,R3,258,5.881446801106398,263.5370966346096,7.638435990531468,0.7185974580368659,11797531.073775059,45726.86462703511
3/02/05/01/0102,Rubavu,SectorD,Residential,C2,1265,6.494231503916895,245.89683464411524,6.587023628553276,0.5015555435399262,55412985.67656978,43804.731760134215
3/05/05/01/4235,Musanze,SectorD,Commercial,A1,1140,3.6852670828842333,191.3797081374081,13.31332951419533,0.7170181744127311,66070150.56786077,57956.27242794804
3/02/05/01/3712,Gasabo,SectorC,Commercial,A1,1071,7.401225680253111,211.9726175736846,7.863745970128112,0.5057167735110146,96919441.44939642,90494.34309000599
3/09/05/01/4239,Gasabo,SectorB,Agricultural,C1,1035,9.639126378231595,11.669443912503073,3.23762853786082,0.4619359676235679,41445882.99943035,40044.331400415795
3/08/05/01/0058,Gasabo,SectorC,Residential,C2,1265,14.639474919481742,298.7997163989471,0.8380673201602507,0.7896284454328071,88024210.80724692,69584.35636936515
3/01/05/01/1291,Rubavu,SectorD,Mixed-use,R3,1037,12.85176051451564,42.61241936823579,1.3954556211134355,0.6714138710053337,53877245.90981469,51954.91408853876
3/09/05/01/2499,Gasabo,SectorA,Mixed-use,A1,747,3.4727279643442808,110.70526393386804,9.799353671392252,0.3871971830325023,57203873.864491425,76578.14439690954
3/03/05/01/2033,Kicukiro,SectorD,Residential,R1,1354,4.948843512383818,208.4152391789914,13.600247079724388,0.9670386097525971,96538099.00962232,71298.44830843598
3/09/05/01/0929,Kicukiro,SectorD,Commercial,A1,470,12.117883864251812,150.90613056530884,13.421213562469516,0.41413474975543807,40422836.82975686,86006.03580799332
3/04/05/01/4674,Kicukiro,SectorD,Mixed-use,R3,1129,7.246110954919632,281.3049930943961,6.944397231675085,0.3634037795346676,82033476.78011462,72660.29829948151
3/07/05/01/3457,Rubavu,SectorD,Commercial,A1,660,11.769502522184402,51.87710328827146,10.517783481628523,0.8005258899773684,41214874.65740329,62446.77978394438
3/01/05/01/3501,Gasabo,SectorB,Residential,R3,379,7.877283963646391,174.47877661291236,4.305849091787336,0.730359418743689,26891662.60062873,70954.25488292541
3/04/05/01/2044,Kicukiro,SectorA,Commercial,C1,728,1.638438133565207,129.8023487130338,12.889658688491584,0.3077398543935972,62277851.97495226,85546.49996559376
3/05/05/01/3745,Gasabo,SectorA,Commercial,A1,1168,14.252338280975115,54.50078381313173,3.9272582740076727,0.8493082559717653,112781842.82661462,96559.79694059471
3/03/05/01/0343,Musanze,SectorC,Residential,C1,682,3.10730088328779,245.9432943852608,3.109635047813369,0.82591066356807,30065117.28365421,44083.74968277743
3/08/05/01/1148,Huye,SectorD,Agricultural,R3,679,3.6780481937512013,125.18455512534788,14.054238808630432,0.5018015885725564,15622443.544218333,23008.017001794306
3/00/05/01/2140,Rubavu,SectorB,Mixed-use,C1,474,6.7312237769943355,121.79799511622056,14.313555474819479,0.9333450600642619,26071331.66975561,55002.80942986416
3/05/05/01/4435,Rubavu,SectorC,Residential,C1,1022,11.617401122216133,50.68460828135993,14.137297085398142,0.6742398950292583,46137014.86352067,45143.85016000065
3/03/05/01/1293,Gasabo,SectorA,Commercial,R3,1226,11.604475326769641,70.94070757894585,0.8350922243096337,0.8380139253567089,118151526.64213522,96371.55517303036
3/09/05/01/0909,Kicukiro,SectorA,Residential,A1,526,2.120887635405518,144.96368805413437,0.14953852101777743,0.26781292354106656,33229879.191850834,63174.67526967839
3/00/05/01/1920,Rubavu,SectorB,Commercial,R2,581,5.084134420525053,71.8070840448315,1.9370460609950146,0.9568017546712382,38109962.79270354,65593.73974647769
3/06/05/01/2776,Gasabo,SectorA,Commercial,R1,1394,4.334599878393868,169.09012908158567,5.313602979506813,0.8697679282314148,137583699.39231735,98697.05838760213
3/09/05/01/3129,Gasabo,SectorD,Mixed-use,R2,333,2.605714489606962,116.19315935790686,11.156366432115146,0.866334622502904,27841904.203381352,83609.32193207613
3/01/05/01/3371,Rubavu,SectorB,Residential,C1,317,5.357344161345751,155.06158166788015,0.8749990842720251,0.3229952228671648,13602112.740393436,42908.87299808655
3/01/05/01/0031,Rubavu,SectorD,Mixed-use,R3,425,5.90109770772546,195.30549179901664,10.033860894946494,0.8913340520575226,23110587.613105934,54377.85320730808
3/04/05/01/2254,Kicukiro,SectorC,Commercial,C2,232,14.832112599871436,90.2366659186565,2.1540408848206716,0.5857698254049676,20660964.88058337,89055.8831059628
3/03/05/01/3403,Musanze,SectorC,Residential,A1,204,7.0650608924898295,226.22563951115725,6.882193923621513,0.3307608871847416,8079488.25216753,39605.33456944868
3/06/05/01/4336,Nyarugenge,SectorB,Mixed-use,R3,907,6.035967890053913,56.9513200785495,11.041700160920593,0.35907712406348624,81135571.25992315,89454.87459748969
3/02/05/01/3082,Rubavu,SectorC,Agricultural,A1,1203,4.600799024758221,156.5121116979502,11.221794104028483,0.5937098109249357,32386766.86060972,26921.668213308163
3/02/05/01/4192,Gasabo,SectorB,Residential,R3,1173,3.248642104790933,266.6312239704796,7.296401090582616,0.9748439272681575,86058248.61725034,73365.9408501708
3/08/05/01/2208,Nyarugenge,SectorB,Agricultural,A1,216,5.096350210735199,167.7780687559512,0.9600012412858033,0.3089822226547592,10035820.96046572,46462.134076230184
3/03/05/01/3113,Musanze,SectorC,Residential,A1,1351,8.319283295412388,146.9315868940659,4.717685555589197,0.3102398176351926,53620043.87592368,39689.1516476119
3/04/05/01/1424,Rubavu,SectorC,Agricultural,R1,1275,6.664482361256082,136.41591650958702,13.105090907696471,0.5694675476484867,33732461.43202869,26456.832495708775
3/05/05/01/1625,Musanze,SectorC,Commercial,R2,1464,10.809864066623156,81.00857215812246,13.840137427863617,0.3033981551913809,76935988.13649176,52551.90446481678
3/05/05/01/1275,Rubavu,SectorB,Agricultural,C2,1280,2.207488398255509,281.2868554391118,5.672945242923285,0.6611244411629067,35002453.96020741,27345.66715641204
3/07/05/01/0827,Gasabo,SectorA,Residential,R1,450,1.7112362556451914,143.14867447963363,12.796922578653549,0.9468643648053516,32977929.633467406,73284.28807437202
3/00/05/01/4600,Huye,SectorD,Commercial,R2,313,13.335797548264544,225.61652482483174,13.909724386126838,0.6424667611183936,16095684.108547358,51423.91088992766
3/05/05/01/0715,Rubavu,SectorD,Agricultural,C2,508,2.3929253642215054,231.14580369005523,14.494114466222788,0.9760595653333655,14879044.525767554,29289.457727888886
3/04/05/01/0734,Nyarugenge,SectorC,Commercial,R1,579,6.036078066743775,163.16583894455715,10.760441295545503,0.5548506763988021,63511275.2622835,109691.32169651726
3/09/05/01/0559,Rubavu,SectorC,Agricultural,A1,1169,10.279147838936103,261.8369950376297,11.386303988334577,0.7820233841800761,32349356.156781863,27672.67421452683
3/01/05/01/4661,Kicukiro,SectorB,Mixed-use,R2,342,2.2001293184745334,164.4417128275365,13.642304042065911,0.2052048543040102,24428252.454171643,71427.63875488784
3/07/05/01/3607,Musanze,SectorC,Commercial,R3,302,9.531498029316122,235.92872463557757,12.246194321378464,0.236858505484138,15736636.261555115,52108.067091242105
3/09/05/01/3099,Nyarugenge,SectorC,Mixed-use,R3,1381,6.254309788398889,23.592690600303783,7.833205194415869,0.72250861822526,133478091.2559465,96653.21597099674
3/05/05/01/3195,Nyarugenge,SectorA,Residential,C1,898,4.990963766612083,7.916920179991617,12.074828384641831,0.6139313510535185,74478735.55087192,82938.45829718477
3/04/05/01/3094,Huye,SectorC,Mixed-use,C2,251,13.889451347354825,52.55766210591913,4.5588552541989955,0.8882826780029565,11831281.097257322,47136.5780767224
3/00/05/01/3060,Huye,SectorD,Commercial,C2,998,4.278250361423337,296.7992236466684,3.9075967389034787,0.5330092742794933,51643513.52757828,51747.0075426636
3/05/05/01/2405,Musanze,SectorC,Commercial,R1,417,6.977362236950678,16.673433734349366,14.4749708751433,0.7018343740598718,24036315.760168258,57641.04498841309
3/08/05/01/4558,Gasabo,SectorD,Commercial,A1,549,13.91253385219105,24.468820885546254,14.079320232215785,0.22252225889604374,46453590.108986944,84614.91823130591
3/01/05/01/2811,Rubavu,SectorD,Mixed-use,R1,368,5.267619257742023,197.19052681957362,11.104694764964739,0.830894199445684,19839041.18015836,53910.43798956076
3/04/05/01/1694,Huye,SectorD,Commercial,R2,1432,9.758254168576538,20.257660353622768,3.165574953129231,0.25946469788286414,70468374.73561642,49209.758893586884
3/09/05/01/4079,Huye,SectorC,Agricultural,C1,1367,13.272476141222528,246.3335066815383,12.188554091056425,0.37256602011748124,29885743.478792787,21862.284914991065
3/09/05/01/1159,Musanze,SectorD,Commercial,R3,1407,6.914241060432308,122.4357175796881,0.396703538965012,0.46844576135732574,77162804.31761363,54842.07840626413
3/04/05/01/4134,Huye,SectorC,Residential,R3,922,8.986113171733844,179.21995056699808,12.362260303453294,0.7250610187482691,36630791.76183608,39729.70906923653
3/07/05/01/2857,Rubavu,SectorD,Commercial,R3,461,10.423971159954572,85.28572945339897,0.10237516150379988,0.4708357181067772,27079176.605391677,58740.07940432034
3/08/05/01/2428,Gasabo,SectorD,Residential,R3,1337,7.872951315808631,61.153907366292486,5.226339716836396,0.7743444198675984,95530973.25094888,71451.73765964762
3/07/05/01/1657,Musanze,SectorA,Agricultural,C1,877,9.212866381622229,273.3076083512905,2.82732074907958,0.8447623747019863,23003007.28036973,26229.198723340625
3/08/05/01/2718,Huye,SectorA,Residential,A1,1053,1.1781819436588876,270.9850324422413,8.184654274864702,0.8949018123836254,43534207.19075374,41343.02677184591
3/02/05/01/4512,Nyarugenge,SectorA,Mixed-use,R1,427,7.343084561910378,237.33297092658927,4.017451154039336,0.27605499937988487,37350656.358159326,87472.2631338626
3/00/05/01/1960,Kicukiro,SectorB,Mixed-use,R1,789,3.803093101041325,38.400091730367535,12.640786853092028,0.4068050017182496,58615558.755595915,74290.94899315071
3/03/05/01/4673,Huye,SectorC,Mixed-use,C1,856,10.767985284009367,55.37285302637464,0.3852143463539487,0.4079412625005223,37091774.885750555,43331.51271699831
3/00/05/01/4950,Huye,SectorB,Residential,A1,1416,1.6451857458891466,143.41547518279327,8.718740919122624,0.699575048406371,56448291.73138839,39864.61280465282
3/03/05/01/1033,Nyarugenge,SectorB,Agricultural,C2,1498,10.568082818754839,206.74363864317536,7.527603638334576,0.8223556219762569,75560459.90302019,50440.89446129519
3/08/05/01/0028,Huye,SectorB,Agricultural,A1,537,7.7985925502071725,137.28512218094295,14.91686193916231,0.3407402021418763,11843374.64331282,22054.701384195196
3/06/05/01/4776,Rubavu,SectorC,Residential,A1,1448,1.4964263293606854,248.81798309050188,7.5970681605526,0.888716358976984,69097439.46101078,47719.22614710689
3/01/05/01/4811,Kicukiro,SectorD,Mixed-use,C2,240,10.94046712127182,77.4461391953919,0.27863393647682533,0.5917444411050173,18331503.58411059,76381.26493379413
